"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,414.296367706878,-3.56499298816266,-198.148183853439,0.410334395151964,0.340780332172257,0.124719237696423,TRUE
2,414.723069815768,-3.99169509705257,-198.361534907884,0.2916554424349,0.385275040213879,0.118967432680558,TRUE
3,412.972427229326,-2.24105251061019,-197.486213614663,0.209367969043167,0.417080497817297,0.142310311686132,TRUE
4,411.961325000145,-1.22995028142918,-196.980662500072,-0.171445616478808,0.56806330552123,0.155489118436067,TRUE
5,410.593924612356,0.137450106359836,-196.296962306178,-0.222390589774473,0.587995081653586,0.172967697640002,TRUE
6,411.368407495719,-0.63703277700364,-196.68420374786,-0.00782628783230699,0.503122205241948,0.163116124058189,TRUE
7,410.583593536173,0.147781182542531,-196.291796768087,-0.201936965088997,0.580016998318375,0.173098268211263,TRUE
8,409.539552432726,1.1918222859893,-195.769776216363,-0.197456408754266,0.578264804697035,0.186180355688958,TRUE
9,407.289818584766,3.44155613395003,-194.644909292383,-0.196601892875281,0.577930455388778,0.213623406217834,TRUE
10,405.308179754159,5.42319496455633,-193.65408987708,-0.335713809191731,0.631456654310031,0.236977679786835,TRUE
11,404.56153613633,6.16983858238603,-193.280768068165,-0.222597950229585,0.588075784046189,0.245584161759809,TRUE
12,403.797731837905,6.93364288081034,-192.898865918953,-0.151344523612789,0.560148025505409,0.254281434353869,TRUE
13,402.298458471477,8.43291624723855,-192.149229235739,0.182270449136384,0.42768524418574,0.271044188421047,TRUE
14,402.318470712827,8.41290400588855,-192.159235356414,0.281394702367997,0.389203840466411,0.270823101260328,TRUE
15,402.340658517116,8.39071620159956,-192.170329258558,0.434381925517258,0.332005560348711,0.270577895908648,TRUE
16,401.75916009891,8.97221461980592,-191.879580049455,0.522041356070852,0.300820768176478,0.276975348388417,TRUE
17,399.920862559416,10.8105121592993,-190.960431279708,0.598423208061894,0.274778792024193,0.296810062508996,TRUE
18,399.165444294372,11.5659304243441,-190.582722147186,0.760066372515021,0.223607456024682,0.30479238988813,TRUE
19,398.520554501187,12.2108202175281,-190.260277250594,0.838846155232251,0.200777823238507,0.311530636550076,TRUE
20,398.268762234296,12.4626124844195,-190.134381117148,0.962845384923095,0.167812560463127,0.314142678280008,TRUE
21,397.93162230948,12.7997524092354,-189.96581115474,0.923843987126457,0.177783774792298,0.317623637898513,TRUE
22,397.814499170039,12.9168755486768,-189.907249585019,1.01001371742901,0.15624435901884,0.318828538048189,TRUE
23,398.623505237599,12.1078694811168,-190.311752618799,1.09365792794815,0.137052516398843,0.31045960637994,TRUE
24,399.095102213296,11.6362725054192,-190.547551106648,1.0892849394152,0.138014126052728,0.305530763281351,TRUE
25,399.18723099279,11.5441437259257,-190.593615496395,1.09025112412623,0.137801269320503,0.304563528115248,TRUE
26,398.575017661913,12.1563570568027,-190.287508830956,1.25778934804695,0.104233974502581,0.310964258710389,TRUE
27,397.700680737152,13.0306939815637,-189.850340368576,1.3380280149428,0.0904436522978423,0.319997278171743,TRUE
28,397.391618919702,13.3397557990137,-189.695809459851,1.3243291219047,0.092696881396401,0.323160146662604,TRUE
29,396.96773648838,13.7636382303356,-189.48386824419,1.38869982756914,0.082462023330538,0.32747270503167,TRUE
30,396.420556315448,14.3108184032671,-189.210278157724,1.44260580161212,0.0745657740707212,0.332996643539309,TRUE
31,396.743480148283,13.9878945704328,-189.371740074141,1.42541208192615,0.0770190588153619,0.329742480529742,TRUE
32,396.284437533365,14.446937185351,-189.142218766682,1.48075513209408,0.0693359183466103,0.334363315049356,TRUE
33,395.945680809432,14.785693909284,-188.972840404716,1.49950376868441,0.0668714958788896,0.337751659015217,TRUE
34,396.064608470852,14.6667662478637,-189.032304235426,1.48698098676558,0.0685099163361407,0.336564197035496,TRUE
35,396.090282331494,14.6410923872218,-189.045141165747,1.48388527278626,0.068919679770394,0.336307554100476,TRUE
36,395.753011148477,14.9783635702383,-188.876505574239,1.53105039492759,0.0628784690871996,0.339670637456863,TRUE
37,395.671793763717,15.0595809549982,-188.835896881859,1.52402109109578,0.063751721319968,0.340477791389028,TRUE
38,395.192984583043,15.5383901356727,-188.596492291521,1.58148329605246,0.0568837876507924,0.345215088767397,TRUE
39,395.219647098829,15.511727619887,-188.609823549414,1.6074677980379,0.0539758939545515,0.344952242250412,TRUE
40,395.210962687577,15.5204120311391,-188.605481343788,1.63336952427474,0.0511956513023295,0.345037867871004,TRUE
41,395.013866756661,15.7175079620549,-188.50693337833,1.65786612405297,0.0486722455353366,0.346977988341388,TRUE
42,394.870504319368,15.8608703993477,-188.435252159684,1.67845745816474,0.0466289143830061,0.348385356592963,TRUE
43,394.625036718998,16.1063379997175,-188.312518359499,1.72081786084775,0.0426419401562061,0.350787622682669,TRUE
44,394.776044763435,15.9553299552808,-188.388022381717,1.74822151607865,0.0402128386386131,0.34931089645031,TRUE
45,395.033899817443,15.6974749012724,-188.516949908722,1.73526417963197,0.0413470116577526,0.346781070452043,TRUE
46,395.160031138036,15.57134358068,-188.580015569018,1.72495349492016,0.042267926886055,0.345539798644268,TRUE
47,395.227741299092,15.5036334196236,-188.613870649546,1.7080437592873,0.0438141115914829,0.34487242525113,TRUE
48,395.087645453161,15.6437292655544,-188.543822726581,1.74453875338962,0.0405325949944923,0.346252459097206,TRUE
49,395.148285725915,15.5830889928007,-188.574142862957,1.75981178086446,0.0392198624640456,0.345655491931856,TRUE
50,395.234540465013,15.496834253703,-188.617270232506,1.78425391752085,0.0371912073212433,0.344805370637671,TRUE
